Root_PID,App_Name,Process_Count,Total_PSS_KB,Total_CPU_Ticks,CPU_Percent,Mem_Percent
2145,"gnome-keyring-daemon",1,2543,0,0.00,0.03
2169,"gdm-wayland-session",2,767,0,0.00,0.01
2175,"dbus-broker-launch",2,2825,0,0.00,0.04
2238,"gnome-session-ctl",1,448,0,0.00,0.01
2239,"uresourced",1,1133,0,0.00,0.01
2244,"gnome-session-binary",4,23875,0,0.00,0.31
2245,"gvfsd",8,32832,0,0.00,0.42
2257,"gvfsd-fuse",1,620,0,0.00,0.01
2268,"pipewire",1,6008,0,0.00,0.08
2269,"wireplumber",1,7150,0,0.00,0.09
2302,"gnome-shell",1,180044,7,1.66,2.32
2352,"xdg-permission-store",1,548,0,0.00,0.01
2358,"at-spi-bus-launcher",3,1684,0,0.00,0.02
2366,"at-spi2-registryd",1,810,0,0.00,0.01
2383,"gnome-shell-calendar-server",1,2178,0,0.00,0.03
2396,"gjs",1,6406,0,0.00,0.08
2416,"ibus-daemon",5,7554,0,0.00,0.10
2417,"gsd-a11y-settings",1,708,0,0.00,0.01
2418,"gsd-color",1,1598,0,0.00,0.02
2426,"gsd-datetime",1,908,0,0.00,0.01
2430,"gsd-housekeeping",1,1099,0,0.00,0.01
2436,"gsd-keyboard",1,1895,0,0.00,0.02
2438,"gsd-media-keys",1,4616,0,0.00,0.06
2442,"gsd-power",1,4614,0,0.00,0.06
2455,"gsd-print-notifications",1,970,0,0.00,0.01
2459,"gsd-rfkill",1,821,0,0.00,0.01
2462,"gsd-screensaver-proxy",1,616,0,0.00,0.01
2468,"gsd-sharing",1,2368,0,0.00,0.03
2479,"gsd-smartcard",1,1138,0,0.00,0.01
2485,"gsd-sound",1,1169,0,0.00,0.02
2499,"gsd-usb-protection",1,888,0,0.00,0.01
2512,"gsd-wacom",1,1830,0,0.00,0.02
2581,"abrt-applet",1,1570,0,0.00,0.02
2582,"gvfs-udisks2-volume-monitor",1,2080,0,0.00,0.03
2593,"gjs",1,5652,0,0.00,0.07
2671,"evolution-source-registry",1,6057,0,0.00,0.08
2677,"ibus-portal",1,761,0,0.00,0.01
2693,"gvfs-mtp-volume-monitor",1,821,0,0.00,0.01
2698,"gvfs-gphoto2-volume-monitor",1,1030,0,0.00,0.01
2703,"gvfs-goa-volume-monitor",1,783,0,0.00,0.01
2708,"gsd-printer",1,760,0,0.00,0.01
2728,"goa-daemon",1,1555,0,0.00,0.02
2740,"goa-identity-service",1,1977,0,0.00,0.03
2742,"gvfs-afc-volume-monitor",1,1113,0,0.00,0.01
2836,"dconf-service",1,945,0,0.00,0.01
2868,"pipewire-pulse",1,9745,0,0.00,0.13
2895,"xdg-desktop-portal",1,2216,0,0.00,0.03
2900,"xdg-document-portal",1,955,0,0.00,0.01
2940,"xdg-desktop-portal-gnome",1,2934,0,0.00,0.04
2961,"xdg-desktop-portal-gtk",1,2433,0,0.00,0.03
3017,"evolution-calendar-factory",1,4511,0,0.00,0.06
3065,"evolution-addressbook-factory",1,5397,0,0.00,0.07
3122,"gvfsd-metadata",1,751,0,0.00,0.01
3212,"code",13,1194069,136,32.23,15.39
3238,"Xwayland",1,8631,2,0.47,0.11
3245,"gsd-xsettings",1,2291,0,0.00,0.03
3264,"ibus-x11",1,921,0,0.00,0.01
3266,"mutter-x11-frames",1,2687,0,0.00,0.03
3984,"bwrap",5,399475,1,0.24,5.15
3993,"flatpak-session-helper",1,716,0,0.00,0.01
3998,"server",1,308,0,0.00,0.00
4001,"bwrap",2,444,0,0.00,0.01
9605,"nautilus",1,84056,2,0.47,1.08
9629,"tracker-miner-fs-3",1,12331,0,0.00,0.16
12284,"cpptools-srv",1,14295,0,0.00,0.18
12383,"my_program",1,50231,22,5.21,0.65
12414,"cpptools-srv",1,14603,0,0.00,0.19
12586,"gnome-text-editor",1,70410,0,0.00,0.91
14126,"cpptools-srv",1,13771,0,0.00,0.18
