Cluster_Label,App_Name,PID,CPU_Percent,Mem_Percent
MEDIUM_IMPACT,systemd,1,0.00,5.90
MEDIUM_IMPACT,bwrap,7278,0.00,7.10
MEDIUM_IMPACT,firefox,9895,0.00,4.35
MEDIUM_IMPACT,systemd,2770,1.67,10.83
MEDIUM_IMPACT,code,5454,4.78,13.99
LOW_IMPACT,systemd-resolved,798,0.00,0.08
LOW_IMPACT,dbus-broker-launch,830,0.00,0.08
LOW_IMPACT,avahi-daemon: running [fedora-2.local],834,0.48,0.02
LOW_IMPACT,chronyd,840,0.00,0.02
LOW_IMPACT,polkitd,846,0.00,0.08
LOW_IMPACT,rtkit-daemon,847,0.00,0.00
LOW_IMPACT,dbus,1106,0.00,0.02
LOW_IMPACT,colord,1317,0.00,0.05
LOW_IMPACT,geoclue,1521,0.00,0.30
LOW_IMPACT,gnome-keyring-daemon,2913,0.00,0.02
LOW_IMPACT,gdm-wayland-session,2974,0.00,0.02
LOW_IMPACT,Xwayland,3718,0.00,0.33
LOW_IMPACT,sssd_kcm,3753,0.00,0.07
LOW_IMPACT,mutter-x11-frames,4520,0.00,0.29
LOW_IMPACT,sudo,8023,0.00,0.04
LOW_IMPACT,my_monitor,8084,4.55,0.65
