PID,NAME,COMM,PPID,SID,UID,Jiffies_Total,UTIME,STIME,STARTTIME,PSS_KB,VmRSS_KB
1,"systemd","systemd",0,1,0,271,107,164,1,11578,21640
591,"systemd-journald","systemd-journal",1,591,0,66,25,41,1,12909,22152
624,"systemd-userdbd","systemd-userdbd",1,624,0,2,1,1,1,1253,6928
633,"systemd-udevd","systemd-udevd",1,633,0,30,13,17,1,7207,14880
778,"systemd-resolved","systemd-resolve",1,778,193,35,22,13,1,5990,16732
805,"auditd","auditd",1,805,0,3,1,2,3,1258,3516
807,"sedispatch","sedispatch",805,805,0,0,0,0,1,464,3680
829,"dbus-broker-launch","dbus-broker-lau",1,829,81,4,3,1,1,1288,5264
834,"dbus-broker","dbus-broker",829,829,81,53,26,27,1,4852,7824
837,"avahi-daemon: running [fedora.local]","avahi-daemon",1,837,70,10,5,5,1,706,4816
838,"bluetoothd","bluetoothd",1,838,0,8,5,3,1,1795,5936
842,"irqbalance","irqbalance",1,842,0,9,2,7,2,475,4340
843,"chronyd","chronyd",1,843,996,3,1,2,1,1546,6708
845,"low-memory-monitor","low-memory-moni",1,845,0,1,1,0,4,542,5908
848,"mcelog","mcelog",1,848,0,0,0,0,1,225,2112
849,"polkitd","polkitd",1,849,114,98,54,44,4,6485,18044
850,"rtkit-daemon","rtkit-daemon",1,850,985,3,1,2,3,290,3592
851,"smartd","smartd",1,851,0,1,1,0,1,1956,6296
852,"switcheroo-control","switcheroo-cont",1,852,0,1,1,0,4,769,7316
853,"systemd-machined","systemd-machine",1,853,0,27,19,8,1,1635,8352
854,"thermald","thermald",1,854,0,26,8,18,5,1558,9864
855,"udisksd","udisksd",1,855,0,14,9,5,7,6616,18552
856,"upowerd","upowerd",1,856,0,24,10,14,4,3305,11300
868,"accounts-daemon","accounts-daemon",1,868,0,8,5,3,4,2246,13408
874,"systemd-logind","systemd-logind",1,874,0,29,11,18,1,3776,11680
881,"avahi-daemon: chroot helper","avahi-daemon",837,837,70,0,0,0,1,366,1632
906,"abrtd","abrtd",1,906,0,7,4,3,4,2869,14620
941,"ModemManager","ModemManager",1,941,0,7,4,3,4,7732,18340
942,"python3","firewalld",1,942,0,40,32,8,2,32621,52572
966,"abrt-dump-journal-core","abrt-dump-journ",1,966,0,8,3,5,1,5723,20276
967,"abrt-dump-journal-oops","abrt-dump-journ",1,967,0,6,3,3,1,5178,19852
968,"abrt-dump-journal-xorg","abrt-dump-journ",1,968,0,5,2,3,1,5156,18532
1000,"alsactl","alsactl",1,1000,0,0,0,0,1,778,3524
1047,"NetworkManager","NetworkManager",1,1047,0,75,30,45,4,8419,24132
1079,"wpa_supplicant","wpa_supplicant",1,1079,0,178,4,174,1,5111,11520
1099,"cupsd","cupsd",1,1099,0,1,1,0,1,3172,11656
1101,"gssproxy","gssproxy",1,1101,0,2,1,1,6,1876,8208
1102,"python3","tuned",1,1102,0,24,19,5,4,15130,29624
1105,"dbus","dbus",1099,1099,4,0,0,0,1,1770,8516
1118,"python3","tuned-ppd",1,1118,0,14,12,2,4,18980,33308
1125,"rsyslogd","rsyslogd",1,1125,0,28,15,13,3,7455,16352
1130,"atd","atd",1,1130,0,0,0,0,1,257,3104
1131,"crond","crond",1,1131,0,1,0,1,1,933,4000
1132,"gdm","gdm",1,1132,0,22,13,9,5,2937,15524
