PID,PPID,Name,StartTime,CPU_%,Uptime_Sec,RSS_KB,PSS_KB,RSS_%,PSS_%
2145,1,"gnome-keyring-daemon",5,0.00000000,9651.69,7444,2543,0.10,0.03
2169,2110,"gdm-wayland-session",4,0.00000000,9651.70,5588,172,0.07,0.00
2175,2125,"dbus-broker-launch",1,0.00000000,9651.73,3900,354,0.05,0.00
2179,2175,"dbus-broker",1,0.00000000,9651.73,4720,2471,0.06,0.03
2184,2169,"gnome-session-binary",5,0.00000000,9651.69,12168,595,0.16,0.01
2238,2125,"gnome-session-ctl",2,0.00000000,9651.72,4908,448,0.06,0.01
2239,2125,"uresourced",4,0.00000000,9651.70,8544,1133,0.11,0.01
2244,2125,"gnome-session-binary",5,0.00000000,9651.69,13940,2111,0.18,0.03
2245,2125,"gvfsd",4,0.00000000,9651.70,7668,761,0.10,0.01
2257,2125,"gvfsd-fuse",7,0.00000000,9651.67,6804,620,0.09,0.01
2268,2125,"pipewire",3,0.00000000,9651.71,12180,6008,0.16,0.08
2269,2125,"wireplumber",9,0.00000000,9651.65,20732,7150,0.27,0.09
2302,2125,"gnome-shell",23,1.75000000,9651.51,228912,180044,2.95,2.32
2352,2125,"xdg-permission-store",4,0.00000000,9651.70,5824,548,0.08,0.01
2358,2125,"at-spi-bus-launcher",5,0.00000000,9651.69,7012,794,0.09,0.01
2364,2358,"dbus-broker-launch",1,0.00000000,9651.73,3724,454,0.05,0.01
2365,2364,"dbus-broker",1,0.00000000,9651.73,2852,436,0.04,0.01
2366,2125,"at-spi2-registryd",4,0.00000000,9651.70,6692,810,0.09,0.01
2383,2125,"gnome-shell-calendar-server",7,0.00000000,9651.67,16808,2178,0.22,0.03
2396,2125,"gjs",12,0.00000000,9651.62,21996,6406,0.28,0.08
2416,2125,"ibus-daemon",4,0.00000000,9651.70,8964,2301,0.12,0.03
2417,2125,"gsd-a11y-settings",5,0.00000000,9651.69,6476,708,0.08,0.01
2418,2125,"gsd-color",6,0.00000000,9651.68,15728,1598,0.20,0.02
2426,2125,"gsd-datetime",5,0.00000000,9651.69,9600,908,0.12,0.01
2430,2125,"gsd-housekeeping",5,0.00000000,9651.69,7748,1099,0.10,0.01
2436,2125,"gsd-keyboard",6,0.00000000,9651.68,16732,1895,0.22,0.02
2438,2125,"gsd-media-keys",7,0.00000000,9651.67,20960,4616,0.27,0.06
2442,2125,"gsd-power",7,0.00000000,9651.67,20816,4614,0.27,0.06
2455,2125,"gsd-print-notifications",4,0.00000000,9651.70,10980,970,0.14,0.01
2459,2125,"gsd-rfkill",4,0.00000000,9651.70,6332,821,0.08,0.01
2462,2125,"gsd-screensaver-proxy",4,0.00000000,9651.70,6040,616,0.08,0.01
2463,2244,"evolution-alarm-notify",9,0.00000000,9651.65,36144,5983,0.47,0.08
2468,2125,"gsd-sharing",5,0.00000000,9651.69,10352,2368,0.13,0.03
2473,2244,"gnome-software",10,0.00000000,9651.64,41996,14583,0.54,0.19
2479,2125,"gsd-smartcard",5,0.00000000,9651.69,8964,1138,0.12,0.01
2485,2125,"gsd-sound",5,0.00000000,9651.69,8276,1169,0.11,0.02
2499,2125,"gsd-usb-protection",5,0.00000000,9651.69,7020,888,0.09,0.01
2512,2125,"gsd-wacom",6,0.00000000,9651.68,16204,1830,0.21,0.02
2517,2244,"gsd-disk-utility-notify",4,0.00000000,9651.70,7232,1198,0.09,0.02
2581,2125,"abrt-applet",5,0.00000000,9651.69,15696,1570,0.20,0.02
2582,2125,"gvfs-udisks2-volume-monitor",5,0.00000000,9651.69,12564,2080,0.16,0.03
2593,2125,"gjs",12,0.00000000,9651.62,20952,5652,0.27,0.07
2618,2416,"ibus-dconf",5,0.00000000,9651.69,6540,137,0.08,0.00
2619,2416,"ibus-extension-gtk3",6,0.00000000,9651.68,16696,1567,0.22,0.02
2671,2125,"evolution-source-registry",5,0.00000000,9651.69,31020,6057,0.40,0.08
2677,2125,"ibus-portal",4,0.00000000,9651.70,7032,761,0.09,0.01
2693,2125,"gvfs-mtp-volume-monitor",4,0.00000000,9651.70,6380,821,0.08,0.01
2698,2125,"gvfs-gphoto2-volume-monitor",4,0.00000000,9651.70,7360,1030,0.09,0.01
2703,2125,"gvfs-goa-volume-monitor",4,0.00000000,9651.70,5916,783,0.08,0.01
2708,2125,"gsd-printer",4,0.00000000,9651.70,13948,760,0.18,0.01
2728,2125,"goa-daemon",5,0.00000000,9651.69,17112,1555,0.22,0.02
2740,2125,"goa-identity-service",5,0.00000000,9651.69,10236,1977,0.13,0.03
2742,2125,"gvfs-afc-volume-monitor",5,0.00000000,9651.69,7608,1113,0.10,0.01
2792,2416,"ibus-engine-simple",4,0.00000000,9651.70,6720,660,0.09,0.01
2836,2125,"dconf-service",4,0.00000000,9651.70,5500,945,0.07,0.01
2868,2125,"pipewire-pulse",3,0.00000000,9651.71,16756,9745,0.22,0.13
2895,2125,"xdg-desktop-portal",6,0.00000000,9651.68,12824,2216,0.17,0.03
2900,2125,"xdg-document-portal",7,0.00000000,9651.67,6268,955,0.08,0.01
2940,2125,"xdg-desktop-portal-gnome",6,0.00000000,9651.68,24592,2934,0.32,0.04
2961,2125,"xdg-desktop-portal-gtk",6,0.00000000,9651.68,16924,2433,0.22,0.03
3017,2125,"evolution-calendar-factory",10,0.00000000,9651.64,22100,4511,0.28,0.06
3065,2125,"evolution-addressbook-factory",7,0.00000000,9651.67,23472,5397,0.30,0.07
3122,2125,"gvfsd-metadata",4,0.00000000,9651.70,6400,751,0.08,0.01
3200,2416,"python3",6,0.00000000,9651.68,26016,2889,0.34,0.04
3212,2302,"code",42,0.25000000,9651.32,164076,78481,2.11,1.01
3217,3212,"code",1,0.00000000,9651.73,33512,3059,0.43,0.04
3218,3212,"code",1,0.00000000,9651.73,37376,3940,0.48,0.05
3220,3218,"code",1,0.00000000,9651.73,7868,1747,0.10,0.02
3238,2302,"Xwayland",5,0.50000000,9651.69,21004,8631,0.27,0.11
3245,2125,"gsd-xsettings",8,0.00000000,9651.66,21164,2291,0.27,0.03
3264,2125,"ibus-x11",5,0.00000000,9651.69,16244,921,0.21,0.01
3266,2302,"mutter-x11-frames",10,0.00000000,9651.64,25396,2687,0.33,0.03
3318,3217,"code",17,2.25000000,9651.57,83828,41679,1.08,0.54
3327,3212,"exe",15,0.00000000,9651.59,52720,10153,0.68,0.13
3369,3220,"code",20,28.50000000,9651.54,471728,409938,6.08,5.28
3417,3212,"exe",21,2.50000000,9651.53,568056,509079,7.32,6.56
3439,3212,"exe",20,0.00000000,9651.54,90928,35269,1.17,0.45
3440,3212,"exe",20,0.00000000,9651.54,71768,17322,0.93,0.22
3639,3212,"exe",20,0.50000000,9651.54,88176,33152,1.14,0.43
3769,3417,"cpptools",22,0.00000000,9651.52,46256,46200,0.60,0.60
3984,2302,"bwrap",1,0.00000000,9651.73,1896,44,0.02,0.00
3993,2125,"flatpak-session-helper",4,0.00000000,9651.70,6320,716,0.08,0.01
3998,2125,"server",1,0.00000000,9651.73,1136,308,0.01,0.00
4001,2125,"bwrap",1,0.00000000,9651.73,1940,47,0.03,0.00
4002,4001,"xdg-dbus-proxy",3,0.00000000,9651.71,5308,397,0.07,0.01
4008,3984,"bwrap",1,0.00000000,9651.73,1096,36,0.01,0.00
4009,4008,"zen",121,0.25000000,9650.53,380672,261260,4.91,3.37
4095,4009,"zen",1,0.00000000,9651.73,21908,2243,0.28,0.03
4169,4095,"browser 5 tab",27,0.00000000,9651.47,218700,135892,2.82,1.75
9605,2125,"nautilus",13,0.50000000,9651.61,133884,84056,1.73,1.08
9609,2245,"gvfsd-trash",5,0.00000000,9651.69,10748,1920,0.14,0.02
9629,2125,"tracker-miner-fs-3",8,0.00000000,9651.66,25392,12331,0.33,0.16
9674,2245,"gvfsd-recent",4,0.00000000,9651.70,11980,3262,0.15,0.04
9676,2245,"gvfsd-network",5,0.00000000,9651.69,9728,1666,0.13,0.02
9687,2245,"gvfsd-dnssd",4,0.00000000,9651.70,9404,1553,0.12,0.02
9696,2245,"gvfsd-wsdd",4,0.00000000,9651.70,8976,1479,0.12,0.02
9701,9696,"python3",1,0.00000000,9651.73,30208,20445,0.39,0.26
9755,2245,"gvfsd-computer",4,0.00000000,9651.70,9444,1746,0.12,0.02
11960,3639,"bash",1,0.00000000,9651.73,6132,4050,0.08,0.05
12284,2125,"cpptools-srv",8,0.00000000,9651.66,23764,14295,0.31,0.18
12383,11960,"my_program",2,5.50000000,9651.72,51588,50231,0.66,0.65
12414,2125,"cpptools-srv",8,0.00000000,9651.66,23804,14603,0.31,0.19
12586,2302,"gnome-text-editor",12,0.00000000,9651.62,118844,70410,1.53,0.91
14126,2125,"cpptools-srv",8,0.00000000,9651.66,23392,13771,0.30,0.18
